id,author_id,text,retweets,permalink,date,formatted_date,favorites,mentions,hashtags,geo,urls,search_term,text_clean,index_x,Topic0,Topic1,Topic2,Topic3,Topic4,dominant_topic,index_y,Word 0,Word 1,Word 2,Word 3,Word 4,topic_index
1177593827768422400,857998692.0,"it is a free market so loans will exist. however, it will be much harder to get a loan due to the deflationary incentives. only the very best will be funded rather than loans going into things like mortgages for everyone. therefore staking is “reduced”",0.0,https://twitter.com/liujackc/status/1177593827768422400,2019-09-27 14:40:21+00:00,Fri Sep 27 14:40:21 +0000 2019,3.0,,,,,mortgage,it is a free market so loans will exist however it will be much harder to get a loan due to the deflationary incentives only the very best will be funded rather than loans going into things like mortgages for everyone therefore staking is “reduced”,Doc0,0.01,0.01,0.01,0.01,0.95,4,Topic 4,income,high,flat,mo,monthly,4
1169176926977581057,22118077.0,lucky bastard! actually i know someone who did the same ... made $$$when he sold one of them to pay the mortgage on the others,0.0,https://twitter.com/Steve_Dunthorne/status/1169176926977581057,2019-09-04 09:14:36+00:00,Wed Sep 04 09:14:36 +0000 2019,2.0,,,,,mortgage,lucky bastard actually i know someone who did the same  made when he sold one of them to pay the mortgage on the others,Doc1,0.02,0.02,0.02,0.91,0.02,3,Topic 3,think,feeling,normal,grow,whats,3
1167796354032078850,2566627981.0,football historians will look back in astonishment at how bad their transfer business has been and have a special chapter on the nonsense written by propagandists about pogba. they’ve paid £200k per week to sanchez out the place . i’d mortgage the stand to have pogba join him,0.0,https://twitter.com/LysaghtSteph/status/1167796354032078850,2019-08-31 13:48:42+00:00,Sat Aug 31 13:48:42 +0000 2019,0.0,,,,,mortgage,football historians will look back in astonishment at how bad their transfer business has been and have a special chapter on the nonsense written by propagandists about pogba they’ve paid £200k per week to sanchez out the place  i’d mortgage the stand to have pogba join him,Doc2,0.96,0.01,0.01,0.01,0.01,0,Topic 0,pogba,historians,join,look,nonsense,0
1164907704894099462,53838005.0,#pirata #bravo #italian best italian food without making a mortgage payment in a long time @pirata hong kong https://www.instagram.com/p/b1gojg0glfrj02mhix_x4qsbybaqxdgtv_lhu80/?igshid=1qcq01j9qk6to,0.0,https://twitter.com/raymoorecn/status/1164907704894099462,2019-08-23 14:30:14+00:00,Fri Aug 23 14:30:14 +0000 2019,0.0,,#pirata #bravo #italian,,https://www.instagram.com/p/B1gojG0gLfRj02mhIX_x4qsBybAQXDgtv_LHU80/?igshid=1qcq01j9qk6to,mortgage,pirata bravo italian best italian food without making a mortgage payment in a long time  hong kong ,Doc3,0.02,0.02,0.94,0.02,0.02,2,Topic 2,buy,china,italian,relatively,renting,2
1163704451305054208,2162408330.0,"most hk chinese were in that camp in 1997. hated the british with a vengeance (who could blame them), insisted on cantonese being the school language medium and wondered where they could get their next mortgage as property prices soared (my sec’y has 3 flats).",0.0,https://twitter.com/DrJim_Walker/status/1163704451305054208,2019-08-20 06:48:56+00:00,Tue Aug 20 06:48:56 +0000 2019,0.0,,,,,mortgage,most hk chinese were in that camp in 1997 hated the british with a vengeance who could blame them insisted on cantonese being the school language medium and wondered where they could get their next mortgage as property prices soared my sec’y has 3 flats,Doc4,0.01,0.96,0.01,0.01,0.01,1,Topic 1,man,next,insisted,language,british,1
1162915586734641154,2566627981.0,yes mate and everton to win the champions league. bet your mortgage on it ,0.0,https://twitter.com/LysaghtSteph/status/1162915586734641154,2019-08-18 02:34:16+00:00,Sun Aug 18 02:34:16 +0000 2019,0.0,,,,,mortgage,yes mate and everton to win the champions league bet your mortgage on it ,Doc5,0.89,0.03,0.03,0.03,0.03,0,Topic 0,pogba,historians,join,look,nonsense,0
1150612271762046977,2149870134.0,入贅 or to enter into 入 pledge/mortgage what have you 贅 is done by the man. so the change in words indicates if it's a man or woman doing the thing.,0.0,https://twitter.com/KatjeXia/status/1150612271762046977,2019-07-15 03:45:17+00:00,Mon Jul 15 03:45:17 +0000 2019,1.0,,,,,mortgage,入贅 or to enter into 入 pledgemortgage what have you 贅 is done by the man so the change in words indicates if its a man or woman doing the thing,Doc6,0.02,0.92,0.02,0.02,0.02,1,Topic 1,man,next,insisted,language,british,1
1150612270059098112,2149870134.0,"clarification! and this is where you see the gendered stuff again! 招贅 is done by the woman's family. they are inviting/beckoning 招 the 贅. which, note that 贅 means ""excess"" and can also mean ""mortgage"". til mortgage is a synonym for engage/pledge. #中文",0.0,https://twitter.com/KatjeXia/status/1150612270059098112,2019-07-15 03:45:17+00:00,Mon Jul 15 03:45:17 +0000 2019,2.0,,,,https://twitter.com/KatjeXia/status/1150344196038938624,mortgage,clarification and this is where you see the gendered stuff again 招贅 is done by the womans family they are invitingbeckoning 招 the 贅 which note that 贅 means excess and can also mean mortgage til mortgage is a synonym for engagepledge 中文,Doc7,0.01,0.01,0.01,0.94,0.01,3,Topic 3,think,feeling,normal,grow,whats,3
1146642626034036736,22118077.0,lots of people suddenly seeing their (already unaffordable) mortgages spike isn’t going to cool the temperature ... ,2.0,https://twitter.com/Steve_Dunthorne/status/1146642626034036736,2019-07-04 04:51:20+00:00,Thu Jul 04 04:51:20 +0000 2019,4.0,,,,https://twitter.com/sunchartist/status/1146639451382112256,mortgage,lots of people suddenly seeing their already unaffordable mortgages spike isn’t going to cool the temperature  ,Doc8,0.02,0.02,0.02,0.02,0.92,4,Topic 4,income,high,flat,mo,monthly,4
1141161182549516289,23779898.0,i agree with you it did feel like a nice place to live. in retrospect though it was like having a new credit card with a massive limit and we were all pissing it up the wall as it was all borrowed money that our children and grandchildren will pay for. remember 125% mortgages ?,0.0,https://twitter.com/stumorts/status/1141161182549516289,2019-06-19 01:50:02+00:00,Wed Jun 19 01:50:02 +0000 2019,1.0,,,,,mortgage,i agree with you it did feel like a nice place to live in retrospect though it was like having a new credit card with a massive limit and we were all pissing it up the wall as it was all borrowed money that our children and grandchildren will pay for remember 125 mortgages ,Doc9,0.01,0.95,0.01,0.01,0.01,1,Topic 1,man,next,insisted,language,british,1
1138977957341409281,9.91890852061434e+17,"mo pak-hung, professor at #hkbu, explained the high ratio of mortgage payments to monthly income could be caused by family arrangements where parents bought a flat for their children who then had to repay the loans with large portions of their income. ",0.0,https://twitter.com/hkbaptistu/status/1138977957341409281,2019-06-13 01:14:40+00:00,Thu Jun 13 01:14:40 +0000 2019,2.0,,#HKBU,,https://www.scmp.com/news/hong-kong/hong-kong-economy/article/3012881/worlds-most-expensive-housing-market-just-got-even,mortgage,mo pakhung professor at hkbu explained the high ratio of mortgage payments to monthly income could be caused by family arrangements where parents bought a flat for their children who then had to repay the loans with large portions of their income ,Doc10,0.01,0.01,0.01,0.01,0.96,4,Topic 4,income,high,flat,mo,monthly,4
1138278162767392768,383323.0,"yes, i am. it doesn’t mean i haven’t been paid, though. i’ve got mortgages to fund!",0.0,https://twitter.com/zzap/status/1138278162767392768,2019-06-11 02:53:56+00:00,Tue Jun 11 02:53:56 +0000 2019,1.0,,,,,mortgage,yes i am it doesn’t mean i haven’t been paid though i’ve got mortgages to fund,Doc11,0.07,0.07,0.07,0.73,0.07,3,Topic 3,think,feeling,normal,grow,whats,3
1137350562297475072,1.117989739171156e+18,"i’m 65, my mortgage is paid off and i have $370,000 in savings, so why i am still worried about money? ",0.0,https://twitter.com/Yike35077076/status/1137350562297475072,2019-06-08 13:27:59+00:00,Sat Jun 08 13:27:59 +0000 2019,0.0,,,,https://www.marketwatch.com/story/im-65-my-mortgage-is-paid-off-and-i-have-370000-in-savings-so-why-i-am-still-worried-about-money-2019-03-08,mortgage,i’m 65 my mortgage is paid off and i have 370000 in savings so why i am still worried about money ,Doc12,0.05,0.05,0.05,0.8,0.05,3,Topic 3,think,feeling,normal,grow,whats,3
1133364141559767042,1376025242.0,"a mortgage is simply renting the money to buy a home. big difference between rent vs buy is transaction costs, which eat you short term, but can be relatively negligible if you hold a house for &gt;20 years.",1.0,https://twitter.com/QuantOfAsia/status/1133364141559767042,2019-05-28 13:27:22+00:00,Tue May 28 13:27:22 +0000 2019,3.0,,,,,mortgage,a mortgage is simply renting the money to buy a home big difference between rent vs buy is transaction costs which eat you short term but can be relatively negligible if you hold a house for gt20 years,Doc13,0.01,0.01,0.96,0.01,0.01,2,Topic 2,buy,china,italian,relatively,renting,2
1133252294961582080,935200417.0,"what do you base that upon? the 2007-2008 bailout of banks after they totally wrecked the us mortgage and housing market? you remember that one? do you remember how many bank ceos went to jail? -0- who was potus and what was his party? bush, r-tx",0.0,https://twitter.com/kostep01/status/1133252294961582080,2019-05-28 06:02:56+00:00,Tue May 28 06:02:56 +0000 2019,0.0,,,,,mortgage,what do you base that upon the 20072008 bailout of banks after they totally wrecked the us mortgage and housing market you remember that one do you remember how many bank ceos went to jail 0 who was potus and what was his party bush rtx,Doc14,0.01,0.01,0.95,0.01,0.01,2,Topic 2,buy,china,italian,relatively,renting,2
1127410441372626944,38842139.0,"think that feeling comes from the fact that we're not doing ""what's normal"" ie mortgage, 9-5, etc back home. i think not being totally comfortable is a good feeling as it's the space where we grow the most. just my 2 cents. but i totally get what you mean.",0.0,https://twitter.com/nialljclark/status/1127410441372626944,2019-05-12 03:09:30+00:00,Sun May 12 03:09:30 +0000 2019,1.0,,,,,mortgage,think that feeling comes from the fact that were not doing whats normal ie mortgage 95 etc back home i think not being totally comfortable is a good feeling as its the space where we grow the most just my 2 cents but i totally get what you mean,Doc15,0.01,0.01,0.01,0.95,0.01,3,Topic 3,think,feeling,normal,grow,whats,3
1125747136648208384,25243724.0,all the mortgages coming to your house in advance. ,0.0,https://twitter.com/3747S_14458E/status/1125747136648208384,2019-05-07 13:00:07+00:00,Tue May 07 13:00:07 +0000 2019,1.0,,,,,mortgage,all the mortgages coming to your house in advance ,Doc16,0.07,0.07,0.73,0.07,0.07,2,Topic 2,buy,china,italian,relatively,renting,2
